,x11,x12,x13,x21,x22,x23,x31,x32,x33,y11,y12,y13,y21,y22,y23,y31,y32,y33,b1,b2
0670,-0.86179686,-0.0025522213,0.8585295,-1.8545603,-0.0081661865,1.8378158,-0.8603503,0.0009677313,0.86178684,-0.89644766,-1.8963839,-0.9035009,-0.0006853256,-0.004717342,-0.007394269,0.8978083,1.8888308,0.8895911,-0.00605013,7.47688e-05
0680,-0.86001104,-0.0017847273,0.85829043,-1.8527179,-0.007476984,1.8373415,-0.85854983,0.0018066274,0.86160725,-0.8961684,-1.8958844,-0.90285707,-0.0010036622,-0.004896972,-0.007344582,0.89692396,1.8880237,0.8890385,-0.0046768533,-0.0019904857
0690,-0.8591425,-0.0019253355,0.8571105,-1.8517687,-0.0076366803,1.8360254,-0.85770667,0.0016918991,0.86048394,-0.89581937,-1.8955013,-0.9024968,-0.0014131482,-0.005330158,-0.0077266507,0.89575887,1.8867568,0.887889,-0.0052001453,-0.00088723213
0700,-0.8583429,-0.0021885969,0.8557954,-1.8508221,-0.007876817,1.8345754,-0.8567265,0.0016612158,0.8594208,-0.8956101,-1.8952278,-0.9021363,-0.0018591378,-0.0057109483,-0.007944796,0.89471453,1.8857393,0.8870691,-0.0052226586,-0.0020283335
0710,-0.8569892,-0.0019158982,0.85502905,-1.8494599,-0.0077476637,1.8334959,-0.85551125,0.001788428,0.8584791,-0.89389896,-1.893287,-0.89997596,-0.00074113114,-0.004419208,-0.006380323,0.8952483,1.886411,0.88799006,-0.004297793,-0.0007463959
0720,-0.8564052,-0.0023111172,0.8536458,-1.848767,-0.008174486,1.8319299,-0.8550014,0.0013349202,0.8570087,-0.8934153,-1.8926004,-0.8992125,-0.00087143667,-0.004387921,-0.006167434,0.89453006,1.8857927,0.88758475,-0.005230697,0.000115372204
0730,-0.854509,-0.001463097,0.8534686,-1.8469162,-0.0074807103,1.831419,-0.8533158,0.0020143217,0.8566289,-0.8940101,-1.8930312,-0.8996134,-0.0020078018,-0.005383446,-0.0070764916,0.89281875,1.884144,0.88605297,-0.004518841,-0.00040431885
0740,-0.85365105,-0.0016414509,0.8522859,-1.8460392,-0.007754073,1.8299922,-0.85259354,0.0017442179,0.855374,-0.8924418,-1.89134,-0.8978577,-0.0010540392,-0.004353695,-0.005909689,0.8931894,1.884557,0.8865992,-0.004039051,-0.0004709602
0750,-0.8530161,-0.0019545963,0.850985,-1.8451964,-0.008007073,1.8285954,-0.85176796,0.001577788,0.85424006,-0.89267576,-1.8914269,-0.89777416,-0.0020642115,-0.005270692,-0.0066056806,0.8914367,1.8828311,0.8851418,-0.0043698316,-0.00018867748
0760,-0.85123175,-0.0011312865,0.85079426,-1.8433317,-0.0072373636,1.8282373,-0.8501327,0.0022700047,0.8539725,-0.8916968,-1.8903749,-0.8968139,-0.0017513501,-0.0049206414,-0.006245256,0.8910881,1.8824362,0.8848138,-0.004333252,-0.0013136637
